FACILITY,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,SUBPARTS,"TOTAL REPORTED EMISSIONS, 2011","TOTAL REPORTED EMISSIONS, 2012","TOTAL REPORTED EMISSIONS, 2013","TOTAL REPORTED EMISSIONS, 2014","TOTAL REPORTED EMISSIONS, 2015","TOTAL REPORTED EMISSIONS, 2016","TOTAL REPORTED EMISSIONS, 2017","TOTAL REPORTED EMISSIONS, 2018","TOTAL REPORTED EMISSIONS, 2019","TOTAL REPORTED EMISSIONS, 2020","TOTAL REPORTED EMISSIONS, 2021",CHANGE IN EMISSIONS (2020 TO 2021),CHANGE IN EMISSIONS (2011 TO 2021),SECTORS
RUTGERS UNIVERSITY BUSCH - LIVINGSTON CAMPUSE,1006187,74 Street 1603,40.517295,-74.430326,PISCATAWAY,MIDDLESEX COUNTY,NJ,08854,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY (100%),C,"95,408","86,822","121,998","95,340","98,487","93,797","98,695","127,460","103,082","89,608","123,290","33,682","27,882",Other
Rutgers Health Science Campus at Newark,1005495,30 Bergen Street ADMC #2 Suite 207,40.744413,-74.190295,Newark,ESSEX COUNTY,NJ,07101,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY (100%),C,"63,740","67,128","61,675","70,511","79,691","73,671","71,530","65,314","68,058","41,745","32,160","-9,585","-31,580",Other
SOUTHERN ILLINOIS UNIVERSITY,1000079,210 PHYSICAL PLANT DR,37.71083,-89.21754,CARBONDALE,JACKSON COUNTY,IL,62901,SOUTHERN ILLINOIS UNIVERSITY SYSTEM (100%),C,"123,434","158,890","111,681","103,502","97,992","104,919","99,126","104,890","101,360","91,810","97,357","5,547","-26,077",Other
SUNY AT BINGHAMTON,1007385,4400 VESTAL PKWY E,42.087974,-75.970934,BINGHAMTON,BROOME COUNTY,NY,13902,NEW YORK STATE (100%),C,---,---,---,---,"26,280",---,---,---,---,---,---,---,---,Other
SYRACUSE UNIVERSITY - STEAM STATION,1007087,500 EAST TAYLOR STREET,43.03925,-76.14311,SYRACUSE,ONONDAGA COUNTY,NY,13244,SYRACUSE UNIVERSITY (100%),C,"55,283","52,283","56,438","57,902","61,747","53,315","55,055","56,552","58,528","55,093","53,739","-1,354","-1,544",Other
San Diego State University,1012093,5500 Campanile Drive,32.77214,-117.07191,San Diego,SAN DIEGO COUNTY,CA,92182,CALIFORNIA STATE UNIVERSITY (100%),,"50,401","50,283","48,094","52,015","49,903","41,999","41,029",---,---,---,---,---,---,Other
TEMPLE UNIVERSITY,1005851,1009 WEST MONTGOMERY AVENUE,39.979354,-75.151017,PHILADELPHIA,PHILADELPHIA COUNTY,PA,19122,TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION (100%),C,"33,995","32,650","33,901","37,545","38,004","36,048","37,242","54,088","38,397","31,736","33,532","1,795",-463,Other
TEMPLE UNIVERSITY HEALTH SCIENCES CAMPUS,1005471,1218 W ONTARIO,40.00436,-75.1498,PHILADELPHIA,PHILADELPHIA COUNTY,PA,19140,TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION (100%),C,"29,925","28,491","30,574","35,368","27,673","29,952","30,056","30,154","27,449","28,068","28,336",269,"-1,588",Other
TEXAS TECH UNIVERSITY,1004040,"2903 4th St, Rm 122",33.59223,-101.880084,Lubbock,LUBBOCK COUNTY,TX,79409,TEXAS TECH UNIVERSITY SYSTEM (100%),C,"58,565","55,315","54,113","66,765","66,681","60,572","53,715","60,060","64,545","63,068","61,928","-1,141","3,363",Other
THE COLLEGE OF NEW JERSEY,1006075,2000 PENNINGTON ROAD,40.271251,-74.782693,EWING,MERCER COUNTY,NJ,08628,THE COLLEGE OF NEW JERSEY (100%),C,"30,929","30,775","31,337","28,086","33,973","31,822","32,406","33,410","34,257",---,"34,416",---,"3,488",Other
